Date,Open,Close,COVID Case,COVID Death,Volume,Value
2020-05-27,0.4,0.405,15,0,42.568,18.3
2020-05-28,0.4,0.405,10,0,42.568,18.3
2020-05-29,0.41,0.49,103,0,42.568,18.3
2020-06-02,0.49,0.49,20,0,42.568,18.3
2020-06-03,0.505,0.515,93,0,42.568,18.3
2020-06-04,0.53,0.55,277,1,42.568,18.3
2020-06-05,0.565,0.53,19,1,42.568,18.3
2020-06-09,0.56,0.535,7,0,42.568,18.3
2020-06-10,0.535,0.52,2,1,42.568,18.3
2020-06-11,0.525,0.5,31,1,42.568,18.3
2020-06-12,0.465,0.48,33,2,42.568,18.3
2020-06-15,0.48,0.435,41,0,42.568,18.3
2020-06-16,0.45,0.44,11,0,42.568,18.3
2020-06-17,0.45,0.44,10,0,42.568,18.3
2020-06-18,0.435,0.435,14,0,42.568,18.3
2020-06-19,0.43,0.435,6,0,42.568,18.3
2020-06-22,0.435,0.42,15,0,42.568,18.3
2020-06-23,0.425,0.42,3,0,42.568,18.3
2020-06-24,0.425,0.42,6,0,42.568,18.3
2020-06-25,0.415,0.415,4,0,42.568,18.3
2020-06-26,0.425,0.415,6,0,42.568,18.3
2020-06-29,0.415,0.41,3,0,42.568,18.3
2020-06-30,0.415,0.415,2,0,42.568,18.3
2020-07-01,0.42,0.415,1,0,89.245,33.78
2020-07-02,0.42,0.415,3,0,89.245,33.78
2020-07-03,0.425,0.43,5,0,89.245,33.78
2020-07-06,0.43,0.425,5,0,89.245,33.78
2020-07-07,0.43,0.425,6,0,89.245,33.78
2020-07-08,0.425,0.42,3,0,89.245,33.78
2020-07-09,0.425,0.425,6,0,89.245,33.78
2020-07-10,0.425,0.425,13,1,89.245,33.78
2020-07-13,0.425,0.42,7,0,89.245,33.78
2020-07-14,0.42,0.41,4,0,89.245,33.78
2020-07-15,0.415,0.415,5,0,89.245,33.78
2020-07-16,0.415,0.41,3,0,89.245,33.78
2020-07-17,0.41,0.415,18,1,89.245,33.78
2020-07-20,0.415,0.42,21,0,89.245,33.78
2020-07-21,0.42,0.42,15,0,89.245,33.78
2020-07-22,0.425,0.42,16,0,89.245,33.78
2020-07-23,0.425,0.42,9,0,89.245,33.78
2020-07-24,0.42,0.415,21,0,89.245,33.78
2020-07-27,0.42,0.415,7,0,89.245,33.78
2020-07-28,0.415,0.42,39,0,89.245,33.78
2020-07-29,0.42,0.42,13,1,89.245,33.78
2020-07-30,0.42,0.435,8,0,89.245,33.78
2020-08-03,0.445,0.425,2,0,89.245,33.78
2020-08-04,0.425,0.43,1,0,89.245,33.78
2020-08-05,0.44,0.455,21,0,89.245,33.78
2020-08-06,0.465,0.45,15,0,89.245,33.78
2020-08-07,0.455,0.435,25,0,89.245,33.78
2020-08-10,0.435,0.435,11,0,89.245,33.78
2020-08-11,0.44,0.43,9,0,89.245,33.78
2020-08-12,0.425,0.425,11,0,89.245,33.78
2020-08-13,0.43,0.425,15,0,89.245,33.78
2020-08-14,0.425,0.42,20,0,89.245,33.78
2020-08-17,0.42,0.42,12,0,89.245,33.78
2020-08-18,0.43,0.42,7,0,89.245,33.78
2020-08-19,0.42,0.425,16,0,89.245,33.78
2020-08-21,0.43,0.43,9,0,89.245,33.78
2020-08-24,0.43,0.425,7,0,89.245,33.78
2020-08-25,0.425,0.425,11,0,89.245,33.78
2020-08-26,0.42,0.42,6,0,89.245,33.78
